date;dorsal;total_distance;minute_distance;num_dec_expl;num_acc_expl;distance_vrange2;distance_vrange3;distance_vrange1;player_load;hr_max;hid_intervals;max_acc;hsr;max_dec;max_speed;distance_vrange6;average_speed;num_acc;hmld_time;hmld;hmld_count;num_hids;num_dec;distance_vrange4;distance_vrange5;sprints;zone1_hsr_distance;num_hsr;zone2_hsr_distance;zone4_hsr_distance
03/08/2024;2.0;5.249;104.533;63.0;66.0;1.565;1.652;0.689;0.0;96.0;3.002;4.575;0.215;-6.615;29.578;0.09;0.0;61.0;5.278;1.06;262.0;15.0;57.0;1.079;0.13;6.0;0.023;15.0;0.132;0.027
03/08/2024;5.0;5.57;110.918;76.0;61.0;1.262;2.136;0.73;0.0;76.0;4.75;4.652;0.147;-6.874;27.131;0.048;0.0;58.0;5.223;0.975;273.0;10.0;68.0;1.256;0.099;4.0;0.01;10.0;0.109;0.0
03/08/2024;6.0;3.705;73.788;23.0;23.0;0.959;1.523;0.428;0.0;93.0;3.492;4.450;0.075;-6.023;25.201;0.017;0.0;44.0;2.533;0.511;122.0;7.0;25.0;0.709;0.067;2.0;0.0;7.0;0.031;0.0
03/08/2024;7.0;5.18;103.155;77.0;62.0;1.284;2.019;0.642;0.0;66.0;2.974;4.568;0.233;-7.650;28.103;0.082;0.0;71.0;5.667;1.133;284.0;16.0;58.0;0.916;0.153;6.0;0.0;16.0;0.074;0.016
03/08/2024;8.0;5.343;106.404;44.0;36.0;1.317;2.243;0.695;0.0;183.0;4.831;4.403;0.152;-6.153;28.578;0.049;0.0;63.0;4.167;0.828;205.0;10.0;52.0;0.883;0.103;3.0;0.0;10.0;0.058;0.0
03/08/2024;9.0;1.707;34.0;20.0;19.0;0.521;0.727;0.236;0.0;0.0;2.025;4.996;0.017;-4.973;23.748;0.002;0.0;19.0;1.263;0.222;78.0;2.0;18.0;0.173;0.015;0.0;0.0;2.0;0.0;0.005
03/08/2024;10.0;3.557;70.835;43.0;46.0;1.106;1.17;0.481;0.0;158.0;3.092;5.092;0.156;-6.540;30.814;0.087;0.0;39.0;3.615;0.717;175.0;10.0;37.0;0.49;0.068;6.0;0.011;10.0;0.029;0.0
03/08/2024;15.0;4.766;94.912;41.0;44.0;1.261;1.637;0.941;0.0;153.0;11.313;4.584;0.093;-5.062;26.083;0.036;0.0;41.0;3.497;0.646;177.0;5.0;46.0;0.704;0.057;3.0;0.031;5.0;0.061;0.0
03/08/2024;17.0;5.323;105.999;73.0;61.0;1.419;1.92;0.76;0.0;148.0;2.95;5.724;0.206;-6.302;28.459;0.089;0.0;65.0;5.39;1.087;266.0;15.0;52.0;0.954;0.124;6.0;0.019;15.0;0.07;0.06
03/08/2024;18.0;2.052;40.868;32.0;30.0;0.544;0.769;0.24;0.0;88.0;3.214;4.134;0.071;-5.661;25.447;0.025;0.0;27.0;2.082;0.406;119.0;5.0;25.0;0.299;0.052;2.0;0.0;5.0;0.033;0.0
03/08/2024;20.0;4.761;94.8;45.0;60.0;1.144;1.67;0.911;0.0;0.0;3.157;4.402;0.181;-6.963;27.129;0.055;0.0;47.0;4.722;0.957;234.0;16.0;66.0;0.827;0.128;6.0;0.064;16.0;0.111;0.0
03/08/2024;22.0;5.47;108.934;60.0;50.0;1.409;2.189;0.686;0.0;149.0;2.035;4.144;0.157;-5.092;25.616;0.03;0.0;74.0;4.875;0.963;258.0;18.0;56.0;0.984;0.13;3.0;0.0;18.0;0.022;0.025
03/08/2024;3.0;4.866;90.782;45.0;32.0;1.151;1.639;1.084;0.0;199.0;6.171;4.956;0.066;-6.115;28.028;0.028;0.0;69.0;3.86;0.669;203.0;6.0;51.0;0.505;0.044;3.0;0.0;6.0;0.0;0.054
03/08/2024;4.0;4.925;91.893;65.0;57.0;1.194;1.878;0.933;0.0;121.0;4.784;5.233;0.138;-5.478;25.535;0.029;0.0;73.0;4.897;0.89;258.0;9.0;54.0;0.744;0.108;2.0;0.03;9.0;0.0;0.028
03/08/2024;7.0;2.448;45.678;42.0;31.0;0.611;0.916;0.471;0.0;88.0;2.024;5.193;0.076;-5.607;26.848;0.03;0.0;39.0;2.932;0.526;147.0;5.0;30.0;0.311;0.048;3.0;0.005;5.0;0.028;0.0
03/08/2024;9.0;4.653;86.813;43.0;46.0;1.406;1.591;0.783;0.0;0.0;3.348;4.466;0.179;-6.385;29.907;0.09;0.0;55.0;3.975;0.801;203.0;13.0;46.0;0.642;0.091;6.0;0.059;13.0;0.121;0.0
03/08/2024;18.0;4.795;89.463;70.0;48.0;1.252;1.729;0.984;0.0;169.0;5.273;4.601;0.041;-6.799;25.896;0.008;0.0;69.0;4.45;0.755;250.0;5.0;58.0;0.68;0.035;1.0;0.0;5.0;0.002;0.014
03/08/2024;20.0;3.421;63.832;43.0;40.0;0.846;1.215;0.654;0.0;0.0;3.315;4.061;0.094;-5.503;25.917;0.028;0.0;37.0;3.037;0.573;156.0;8.0;28.0;0.574;0.07;2.0;0.0;8.0;0.037;0.004
03/08/2024;21.0;4.725;88.155;56.0;47.0;1.632;1.465;0.916;0.0;125.0;4.327;4.936;0.105;-5.666;28.172;0.039;0.0;60.0;4.078;0.745;215.0;9.0;43.0;0.57;0.069;3.0;0.007;9.0;0.028;0.004
03/08/2024;22.0;1.93;36.008;15.0;13.0;0.398;0.748;0.47;0.0;154.0;4.154;4.044;0.029;-4.940;25.517;0.008;0.0;25.0;1.503;0.274;77.0;3.0;21.0;0.275;0.021;1.0;0.0;3.0;0.023;0.006
03/08/2024;23.0;5.85;109.142;38.0;65.0;1.401;2.008;0.773;0.0;120.0;2.304;4.723;0.287;-5.722;29.556;0.126;0.0;71.0;5.908;1.307;267.0;20.0;73.0;1.354;0.169;8.0;0.051;20.0;0.129;0.008
07/08/2024;4.0;5.899;119.551;66.0;53.0;1.262;2.244;0.72;0.0;0.0;5.326;4.865;0.164;-5.125;29.268;0.056;0.0;80.0;5.502;1.047;266.0;8.0;59.0;0.962;0.115;2.0;0.05;8.0;0.025;0.076
07/08/2024;5.0;6.774;137.284;78.0;35.0;1.245;2.722;0.639;0.0;183.0;3.736;4.083;0.133;-6.634;28.219;0.041;0.0;81.0;5.398;1.069;286.0;12.0;80.0;1.496;0.097;2.0;0.014;12.0;0.069;0.0
07/08/2024;6.0;6.133;124.302;56.0;41.0;1.434;2.393;0.649;0.0;188.0;3.988;4.087;0.114;-7.342;26.253;0.02;0.0;51.0;4.015;0.823;203.0;12.0;43.0;1.123;0.1;3.0;0.007;12.0;0.024;0.0
07/08/2024;8.0;6.084;123.313;40.0;40.0;1.47;2.478;0.602;0.0;77.0;3.626;4.530;0.171;-7.657;29.614;0.048;0.0;64.0;4.755;0.979;209.0;13.0;52.0;1.019;0.127;2.0;0.0;13.0;0.06;0.016
07/08/2024;10.0;2.527;162.247;22.0;21.0;0.645;0.687;0.177;0.0;143.0;1.232;4.375;0.134;-6.457;27.599;0.058;0.0;14.0;1.713;0.473;84.0;9.0;18.0;0.433;0.077;3.0;0.0;9.0;0.013;0.0
07/08/2024;11.0;3.558;111.582;43.0;30.0;0.903;1.493;0.413;0.0;114.0;2.586;4.125;0.205;-6.108;27.151;0.087;0.0;44.0;3.922;0.797;164.0;12.0;35.0;0.528;0.118;7.0;0.0;12.0;0.133;0.004
07/08/2024;15.0;1.598;98.233;13.0;15.0;0.361;0.715;0.195;0.0;0.0;0.035;4.725;0.009;-5.623;21.858;0.0;0.0;22.0;1.348;0.224;73.0;2.0;21.0;0.268;0.012;0.0;0.0;2.0;0.009;0.0
07/08/2024;16.0;3.293;102.295;41.0;36.0;0.891;1.344;0.447;0.0;0.0;5.837;4.999;0.122;-4.941;24.574;0.022;0.0;59.0;3.818;0.679;185.0;6.0;43.0;0.477;0.105;2.0;0.04;6.0;0.0;0.082
07/08/2024;17.0;5.431;110.074;63.0;56.0;1.385;1.996;0.687;0.0;74.0;2.267;5.141;0.2;-6.837;30.444;0.061;0.0;71.0;5.785;1.129;269.0;17.0;62.0;0.963;0.144;2.0;0.034;17.0;0.107;0.0
07/08/2024;21.0;4.699;95.227;50.0;59.0;1.458;1.445;0.822;0.0;199.0;3.258;5.273;0.201;-7.963;32.267;0.088;0.0;36.0;4.092;0.865;209.0;14.0;50.0;0.652;0.115;7.0;0.017;14.0;0.05;0.0
07/08/2024;23.0;6.247;126.612;55.0;57.0;1.374;2.369;0.568;0.0;87.0;1.702;4.692;0.455;-5.720;29.108;0.183;0.0;61.0;5.948;1.381;253.0;27.0;53.0;1.295;0.276;13.0;0.0;27.0;0.156;0.02
07/08/2024;3.0;2.962;91.109;28.0;44.0;0.64;1.211;0.524;0.0;62.0;5.209;4.717;0.092;-7.002;27.659;0.035;0.0;34.0;2.618;0.487;150.0;6.0;38.0;0.494;0.057;2.0;0.0;6.0;0.0;0.037
07/08/2024;4.0;1.785;108.675;19.0;16.0;0.463;0.689;0.212;0.0;81.0;4.384;3.890;0.089;-4.880;30.039;0.035;0.0;22.0;1.643;0.329;74.0;4.0;13.0;0.328;0.055;2.0;0.024;4.0;0.0;0.016
07/08/2024;5.0;1.776;104.247;28.0;15.0;0.4;0.745;0.244;0.0;166.0;2.073;4.255;0.028;-5.705;23.531;0.001;0.0;20.0;1.573;0.269;83.0;3.0;17.0;0.351;0.029;0.0;0.0;3.0;0.01;0.0
07/08/2024;7.0;2.436;74.605;37.0;33.0;0.608;0.818;0.601;0.0;200.0;5.652;4.135;0.047;-4.736;27.9;0.02;0.0;38.0;2.692;0.477;141.0;4.0;29.0;0.362;0.028;2.0;0.0;4.0;0.027;0.02
07/08/2024;8.0;1.789;114.238;8.0;18.0;0.413;0.775;0.207;0.0;117.0;2.228;4.297;0.037;-6.993;24.67;0.008;0.0;15.0;1.368;0.264;64.0;4.0;19.0;0.353;0.03;1.0;0.0;4.0;0.033;0.0
